VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2019-02-01 00:10:19,2019-02-01 00:21:43,N,1,92,135,1,2.79,11,0.5,0.5,3.08,0,,0.3,15.38,1,1,0
2,2019-02-01 00:02:16,2019-02-01 00:24:37,N,1,66,36,1,4.46,17.5,0.5,0.5,3.76,0,,0.3,22.56,1,1,0
2,2019-02-01 00:37:19,2019-02-01 00:43:07,N,1,255,112,1,1.26,6,0.5,0.5,1.46,0,,0.3,8.76,1,1,0
1,2019-02-01 00:10:10,2019-02-01 00:12:21,N,1,75,238,1,.70,4,0.5,0.5,0,0,,0.3,5.3,2,1,0
1,2019-02-01 00:30:19,2019-02-01 00:46:14,N,1,75,48,1,3.90,14.5,0.5,0.5,0,0,,0.3,15.8,2,1,0
1,2019-02-01 00:43:46,2019-02-01 00:46:08,N,1,7,7,1,.60,4,0.5,0.5,1,0,,0.3,6.3,1,1,0
2,2019-02-01 00:32:56,2019-02-01 00:45:10,N,1,255,37,1,2.31,10.5,0.5,0.5,2.36,0,,0.3,14.16,1,1,0
2,2019-02-01 00:55:28,2019-02-01 01:13:53,N,1,80,192,1,8.70,26,0.5,0.5,0,0,,0.3,27.3,2,1,0
2,2019-02-01 00:26:19,2019-02-01 00:37:58,N,1,265,248,3,6.51,19.5,0.5,0.5,0,0,,0.3,20.8,2,1,0
